"Year","Trial","MOA","State","tResponse_ratio","Spikes","Rep","n","meanSpikes","Treat"
1997,1,"Non-treated","Oregon",0,0.3333,1,4,0.361075,"Non-treated"
1997,1,"Non-treated","Oregon",0,0.4444,2,4,0.361075,"Non-treated"
1997,1,"Non-treated","Oregon",0,0.2222,3,4,0.361075,"Non-treated"
1997,1,"Non-treated","Oregon",0,0.4444,4,4,0.361075,"Non-treated"
1998,2,"P07","Oregon",-0.276750709,3.3333,1,3,2.70366666666667,"Treated"
1998,2,"P07","Oregon",-0.704186028,2,2,3,2.70366666666667,"Treated"
1998,2,"P07","Oregon",-0.965910112,2.7777,3,3,2.70366666666667,"Treated"
1998,2,"11","Oregon",-1.677682233,0.4444,1,12,2.84255,"Treated"
1998,2,"11","Oregon",-2.112971427,0.1111,2,12,2.84255,"Treated"
1998,2,"11","Oregon",-1.036108823,2.5555,3,12,2.84255,"Treated"
1998,2,"11","Oregon",-0.433334803,2.7777,1,12,2.84255,"Treated"
1998,2,"11","Oregon",-0.400000883,2.8888,2,12,2.84255,"Treated"
1998,2,"11","Oregon",0,8.1111,3,12,2.84255,"Treated"
1998,2,"11","Oregon",-0.749685612,1.8888,1,12,2.84255,"Treated"
1998,2,"11","Oregon",0.251325417,6,2,12,2.84255,"Treated"
1998,2,"11","Oregon",-0.510837237,4.6666,3,12,2.84255,"Treated"
1998,2,"11","Oregon",-1.215011651,1,1,12,2.84255,"Treated"
1998,2,"11","Oregon",-2.112971427,0.1111,2,12,2.84255,"Treated"
1998,2,"11","Oregon",-0.752978084,3.5555,3,12,2.84255,"Treated"
1998,2,"4","Oregon",-0.068201967,4.2222,1,3,3.48143333333333,"Treated"
1998,2,"4","Oregon",-1.802838317,0.3333,2,3,3.48143333333333,"Treated"
1998,2,"4","Oregon",-0.298505611,5.8888,3,3,3.48143333333333,"Treated"
1998,2,"Non-treated","Oregon",0,4.5555,1,3,5.7407,"Non-treated"
1998,2,"Non-treated","Oregon",0,4.5555,2,3,5.7407,"Non-treated"
1998,2,"Non-treated","Oregon",0,8.1111,3,3,5.7407,"Non-treated"
1999,3,"P07","Oregon",-1.170064356,0,1,6,0,"Treated"
1999,3,"P07","Oregon",-1.236749724,0,2,6,0,"Treated"
1999,3,"P07","Oregon",-0.747161769,0,3,6,0,"Treated"
1999,3,"11","Oregon",-1.170064356,0,1,6,0.444366666666667,"Treated"
1999,3,"11","Oregon",-1.236749724,0,2,6,0.444366666666667,"Treated"
1999,3,"11","Oregon",-0.747161769,0,3,6,0.444366666666667,"Treated"
1999,3,"P07","Oregon",-1.170064356,0,1,6,0,"Treated"
1999,3,"P07","Oregon",-1.236749724,0,2,6,0,"Treated"
1999,3,"P07","Oregon",-0.747161769,0,3,6,0,"Treated"
1999,3,"Non-treated","Oregon",0,1.1111,1,3,0.962933333333333,"Non-treated"
1999,3,"Non-treated","Oregon",0,1.2222,2,3,0.962933333333333,"Non-treated"
1999,3,"Non-treated","Oregon",0,0.5555,3,3,0.962933333333333,"Non-treated"
1999,3,"11","Oregon",-0.148477111,0.8888,1,6,0.444366666666667,"Treated"
1999,3,"11","Oregon",-0.600808017,0.4444,2,6,0.444366666666667,"Treated"
1999,3,"11","Oregon",0.551939381,1.333,3,6,0.444366666666667,"Treated"
2003,7,"Non-treated","Oregon",0,2.8888,1,4,2.63885,"Non-treated"
2003,7,"Non-treated","Oregon",0,3.1111,2,4,2.63885,"Non-treated"
2003,7,"Non-treated","Oregon",0,3.3333,3,4,2.63885,"Non-treated"
2003,7,"Non-treated","Oregon",0,1.2222,4,4,2.63885,"Non-treated"
2003,7,"P07","Oregon",0.717459703,6.4444,1,4,4.305525,"Treated"
2003,7,"P07","Oregon",0.420735657,5,2,4,4.305525,"Treated"
2003,7,"P07","Oregon",-0.191067594,2.6666,3,4,4.305525,"Treated"
2003,7,"P07","Oregon",0.740409892,3.1111,4,4,4.305525,"Treated"
2003,7,"11","Oregon",-0.349684729,1.8888,1,8,1.5555,"Treated"
2003,7,"11","Oregon",0.244454005,4.1111,2,8,1.5555,"Treated"
2003,7,"11","Oregon",-1.015285986,0.8888,3,8,1.5555,"Treated"
