"Year","Trial","MOA","State","tResponse_ratio","Spikes","Rep","n","meanSpikes","Treat"
2000,4,"P07","Washington",-1.235471471,0,1,4,0.0275,"Treated"
2000,4,"P07","Washington",-1.098612289,0,2,4,0.0275,"Treated"
2000,4,"P07","Washington",-1.355835154,0,3,4,0.0275,"Treated"
2000,4,"P07","Washington",-2.022524179,0.11,4,4,0.0275,"Treated"
2000,4,"Non-treated","Washington",0,1.22,1,4,1.9425,"Non-treated"
2000,4,"Non-treated","Washington",0,1,2,4,1.9425,"Non-treated"
2000,4,"Non-treated","Washington",0,1.44,3,4,1.9425,"Non-treated"
2000,4,"Non-treated","Washington",0,4.11,4,4,1.9425,"Non-treated"
2001,5,"P07","Washington",-1.652497402,0,1,4,0.055,"Treated"
2001,5,"P07","Washington",-2.221375038,0,2,4,0.055,"Treated"
2001,5,"P07","Washington",-2.512846018,0,3,4,0.055,"Treated"
2001,5,"P07","Washington",-2.506659082,0.22,4,4,0.055,"Treated"
2001,5,"Non-treated","Washington",0,2.11,1,4,5.055,"Non-treated"
2001,5,"Non-treated","Washington",0,4.11,2,4,5.055,"Non-treated"
2001,5,"Non-treated","Washington",0,5.67,3,4,5.055,"Non-treated"
2001,5,"Non-treated","Washington",0,8.33,4,4,5.055,"Non-treated"
2002,6,"P07","Washington",-0.510826246,0.142857,1,4,0.03571425,"Treated"
2002,6,"P07","Washington",-0.762140452,0,2,4,0.03571425,"Treated"
2002,6,"P07","Washington",-0.693147181,0,3,4,0.03571425,"Treated"
2002,6,"P07","Washington",-0.45198476,0,4,4,0.03571425,"Treated"
2002,6,"22","Washington",-0.762140452,0,1,8,0.017857125,"Treated"
2002,6,"22","Washington",-0.762140452,0,2,8,0.017857125,"Treated"
2002,6,"22","Washington",-0.441832975,0.142857,3,8,0.017857125,"Treated"
2002,6,"22","Washington",-0.45198476,0,4,8,0.017857125,"Treated"
2002,6,"22","Washington",-0.762140452,0,1,8,0.017857125,"Treated"
2002,6,"22","Washington",-0.762140452,0,2,8,0.017857125,"Treated"
2002,6,"22","Washington",-0.693147181,0,3,8,0.017857125,"Treated"
2002,6,"22","Washington",-0.45198476,0,4,8,0.017857125,"Treated"
2002,6,"11","Washington",-0.762140452,0,1,4,0,"Treated"
2002,6,"11","Washington",-0.762140452,0,2,4,0,"Treated"
2002,6,"11","Washington",-0.693147181,0,3,4,0,"Treated"
2002,6,"11","Washington",-0.45198476,0,4,4,0,"Treated"
2002,6,"Non-treated","Washington",0,0.571429,1,4,0.482143,"Non-treated"
2002,6,"Non-treated","Washington",0,0.571429,2,4,0.482143,"Non-treated"
2002,6,"Non-treated","Washington",0,0.5,3,4,0.482143,"Non-treated"
2002,6,"Non-treated","Washington",0,0.285714,4,4,0.482143,"Non-treated"
2003,10,"11","Washington",-1.189585806,0,1,12,0.0654766666666667,"Treated"
2003,10,"11","Washington",-1.945910149,0,2,12,0.0654766666666667,"Treated"
2003,10,"11","Washington",-1.098612289,0,3,12,0.0654766666666667,"Treated"
2003,10,"11","Washington",-0.693147181,0,4,12,0.0654766666666667,"Treated"
2003,10,"11","Washington",-0.784120698,0.25,1,12,0.0654766666666667,"Treated"
2003,10,"11","Washington",-1.945910149,0,2,12,0.0654766666666667,"Treated"
2003,10,"11","Washington",-1.098612289,0,3,12,0.0654766666666667,"Treated"
2003,10,"11","Washington",-0.693147181,0,4,12,0.0654766666666667,"Treated"
2003,10,"22","Washington",-0.966442255,0.125,1,4,0.0625,"Treated"
2003,10,"22","Washington",-1.722766598,0.125,2,4,0.0625,"Treated"
2003,10,"22","Washington",-1.098612289,0,3,4,0.0625,"Treated"
2003,10,"22","Washington",-0.693147181,0,4,4,0.0625,"Treated"
2003,10,"P07","Washington",-1.189585806,0,1,4,0.125,"Treated"
2003,10,"P07","Washington",-1.722766598,0.125,2,4,0.125,"Treated"
2003,10,"P07","Washington",-0.693147181,0.25,3,4,0.125,"Treated"
2003,10,"P07","Washington",-0.470003629,0.125,4,4,0.125,"Treated"
2003,10,"11","Washington",-1.189585806,0,1,12,0.0654766666666667,"Treated"
2003,10,"11","Washington",-1.694591276,0.14286,2,12,0.0654766666666667,"Treated"
2003,10,"11","Washington",-0.693147181,0.25,3,12,0.0654766666666667,"Treated"
2003,10,"11","Washington",-0.441828308,0.14286,4,12,0.0654766666666667,"Treated"
2003,10,"Non-treated","Washington",0,1.14286,1,4,1.410715,"Non-treated"
2003,10,"Non-treated","Washington",0,3,2,4,1.410715,"Non-treated"
2003,10,"Non-treated","Washington",0,1,3,4,1.410715,"Non-treated"
2003,10,"Non-treated","Washington",0,0.5,4,4,1.410715,"Non-treated"
2004,11,"Non-treated","Washington",0,1.16667,1,4,0.708335,"Non-treated"
2004,11,"Non-treated","Washington",0,0.66667,2,4,0.708335,"Non-treated"
2004,11,"Non-treated","Washington",0,1,3,4,0.708335,"Non-treated"
2004,11,"P07","Washington",-1.203974804,0,1,4,0,"Non-treated"
2004,11,"P07","Washington",-0.847300718,0,2,4,0,"Treated"
2004,11,"P07","Washington",-1.098612289,0,3,4,0,"Treated"
2004,11,"11","Washington",-1.203974804,0,1,8,0.32514875,"Treated"
2004,11,"11","Washington",0,0.66667,2,8,0.32514875,"Treated"
2004,11,"11","Washington",-0.646632619,0.28571,3,8,0.32514875,"Treated"
2004,11,"11","Washington",-0.441833419,0.57143,1,8,0.32514875,"Treated"
2004,11,"11","Washington",-0.036370501,0.625,2,8,0.32514875,"Treated"
2004,11,"11","Washington",-0.646632619,0.28571,3,8,0.32514875,"Treated"
2005,12,"40","Washington",0,0.125,1,4,0.1875,"Treated"
2005,12,"40","Washington",-1.029619417,0.125,2,4,0.1875,"Treated"
2005,12,"40","Washington",-0.559615788,0,3,4,0.1875,"Treated"
2005,12,"40","Washington",-1.504077397,0.5,4,4,0.1875,"Treated"
2005,12,"P07","Washington",0,0.125,1,4,0.0625,"Treated"
2005,12,"P07","Washington",-1.029619417,0.125,2,4,0.0625,"Treated"
2005,12,"P07","Washington",-0.559615788,0,3,4,0.0625,"Treated"
2005,12,"P07","Washington",-2.197224577,0,4,4,0.0625,"Treated"
2005,12,"Non-treated","Washington",0,0.125,1,4,1.4375,"Treated"
2005,12,"Non-treated","Washington",0,1.25,2,4,1.4375,"Treated"
2005,12,"Non-treated","Washington",0,0.375,3,4,1.4375,"Treated"
2005,12,"Non-treated","Washington",0,4,4,4,1.4375,"Treated"
2006,13,"Non-treated","Washington",0,1.875,1,4,3.0625,"Treated"
2006,13,"Non-treated","Washington",0,2.875,2,4,3.0625,"Treated"
2006,13,"Non-treated","Washington",0,5.75,3,4,3.0625,"Treated"
2006,13,"Non-treated","Washington",0,1.75,4,4,3.0625,"Treated"
2006,13,"P07","Washington",-1.335001067,0.125,1,4,0.125,"Non-treated"
2006,13,"P07","Washington",-1.504077397,0.25,2,4,0.125,"Non-treated"
2006,13,"P07","Washington",-2.525728644,0,3,4,0.125,"Non-treated"
