Year,Trial,Cultivar,State,TMT,Rep,Orig_tmt,DOY,Spikes,Plants,Disease_Control,tResponse_ratio,MOA,Program,First_MOA,Second_MOA,Treat
1997,1,Willamette,Oregon,1A,1,A,136,0,9,0.600024001,-0.510785623,.,33_M04,M04,33,Treated
1997,1,Willamette,Oregon,1A,2,A,136,0,9,0.529436679,-0.635941707,.,33_M04,M04,33,Treated
1997,1,Willamette,Oregon,1A,3,A,136,0.2222,9,1,0,.,33_M04,M04,33,Treated
1997,1,Willamette,Oregon,1A,4,A,136,0,9,0.529436679,-0.635941707,.,33_M04,M04,33,Treated
1997,1,Willamette,Oregon,1B,1,B,136,0,9,0.600024001,-0.510785623,33_M04,.,.,.,Treated
1997,1,Willamette,Oregon,1B,2,B,136,0.5555,9,1.11764083,0.111220062,33_M04,.,.,.,Treated
1997,1,Willamette,Oregon,1B,3,B,136,0.1111,9,0.846164497,-0.167041497,33_M04,.,.,.,Treated
1997,1,Willamette,Oregon,1B,4,B,136,0,9,0.529436679,-0.635941707,33_M04,.,.,.,Treated
1997,1,Willamette,Oregon,1C,1,C,136,0,9,0.600024001,-0.510785623,M04,.,.,.,Treated
1997,1,Willamette,Oregon,1C,2,C,136,0.1111,9,0.64707751,-0.435289193,M04,.,.,.,Treated
1997,1,Willamette,Oregon,1C,3,C,136,0.5555,9,1.461506508,0.379467758,M04,.,.,.,Treated
1997,1,Willamette,Oregon,1C,4,C,136,0,9,0.529436679,-0.635941707,M04,.,.,.,Treated
1997,1,Willamette,Oregon,1D,1,D,136,0,9,0.600024001,-0.510785623,M04,.,.,.,Treated
1997,1,Willamette,Oregon,1D,2,D,136,0,9,0.529436679,-0.635941707,M04,.,.,.,Treated
1997,1,Willamette,Oregon,1D,3,D,136,0,9,0.692328995,-0.36769401,M04,.,.,.,Treated
1997,1,Willamette,Oregon,1D,4,D,136,0.2222,9,0.76471834,-0.268247696,M04,.,.,.,Treated
1997,1,Willamette,Oregon,1E,1,E,136,0.3333,9,1,0,M04,.,.,.,Treated
1997,1,Willamette,Oregon,1E,2,E,136,0.4444,9,1,0,M04,.,.,.,Treated
1997,1,Willamette,Oregon,1E,3,E,136,0.1111,9,0.846164497,-0.167041497,M04,.,.,.,Treated
1997,1,Willamette,Oregon,1E,4,E,136,0.1111,9,0.64707751,-0.435289193,M04,.,.,.,Treated
1997,1,Willamette,Oregon,1F,1,F,136,0,9,0.600024001,-0.510785623,M04,.,.,.,Treated
1997,1,Willamette,Oregon,1F,2,F,136,0,9,0.529436679,-0.635941707,M04,.,.,.,Treated
1997,1,Willamette,Oregon,1F,3,F,136,0,9,0.692328995,-0.36769401,M04,.,.,.,Treated
1997,1,Willamette,Oregon,1F,4,F,136,0.2222,9,0.76471834,-0.268247696,M04,.,.,.,Treated
1997,1,Willamette,Oregon,1G,1,G,136,0.3333,9,1,0,Non-treated,Non-treated,.,.,Non-treated
1997,1,Willamette,Oregon,1G,2,G,136,0.4444,9,1,0,Non-treated,Non-treated,.,.,Non-treated
1997,1,Willamette,Oregon,1G,3,G,136,0.2222,9,1,0,Non-treated,Non-treated,.,.,Non-treated
1997,1,Willamette,Oregon,1G,4,G,136,0.4444,9,1,0,Non-treated,Non-treated,.,.,Non-treated
1998,2,Nugget,Oregon,2A,1,A,129,3.3333,9,0.758243497,-0.276750709,P07,.,.,.,Treated
1998,2,Nugget,Oregon,2A,2,A,129,2,9,0.494510929,-0.704186028,P07,.,.,.,Treated
1998,2,Nugget,Oregon,2A,3,A,129,2.7777,9,0.38063662,-0.965910112,P07,.,.,.,Treated
1998,2,Nugget,Oregon,2B,1,B,129,0.4444,9,0.186806448,-1.677682233,11,.,.,.,Treated
1998,2,Nugget,Oregon,2B,2,B,129,0.1111,9,0.120878251,-2.112971427,11,.,.,.,Treated
1998,2,Nugget,Oregon,2B,3,B,129,2.5555,9,0.354832716,-1.036108823,11,.,.,.,Treated
1998,2,Nugget,Oregon,2C,1,C,129,0.5555,9,0.208782514,-1.566462171,NC,.,.,.,Treated
1998,2,Nugget,Oregon,2C,2,C,129,0.5555,9,0.208782514,-1.566462171,NC,.,.,.,Treated
1998,2,Nugget,Oregon,2C,3,C,129,3,9,0.406452137,-0.9002891,NC,.,.,.,Treated
1998,2,Nugget,Oregon,2D,1,D,129,2.7777,9,0.648343388,-0.433334803,11,.,.,.,Treated
1998,2,Nugget,Oregon,2D,2,D,129,2.8888,9,0.670319454,-0.400000883,11,.,.,.,Treated
1998,2,Nugget,Oregon,2D,3,D,129,8.1111,9,1,0,11,.,.,.,Treated
1998,2,Nugget,Oregon,2E,1,E,129,1.8888,9,0.472515083,-0.749685612,11,.,.,.,Treated
1998,2,Nugget,Oregon,2E,2,E,129,6,9,1.285728415,0.251325417,11,.,.,.,Treated
1998,2,Nugget,Oregon,2E,3,E,129,4.6666,9,0.599993032,-0.510837237,11,.,.,.,Treated
1998,2,Nugget,Oregon,2F,1,F,129,3.3333,9,0.758243497,-0.276750709,27_M1,.,.,.,Treated
1998,2,Nugget,Oregon,2F,2,F,129,1,9,0.296706557,-1.215011651,27_M1,.,.,.,Treated
1998,2,Nugget,Oregon,2F,3,F,129,1.4444,9,0.225801582,-1.488098623,27_M1,.,.,.,Treated
1998,2,Nugget,Oregon,2G,1,G,129,0.5555,9,0.208782514,-1.566462171,27_M1,.,.,.,Treated
1998,2,Nugget,Oregon,2G,2,G,129,0,9,0.098902186,-2.31362394,27_M1,.,.,.,Treated
1998,2,Nugget,Oregon,2G,3,G,129,0.6666,9,0.135476304,-1.998958533,27_M1,.,.,.,Treated
1998,2,Nugget,Oregon,2H,1,H,129,0.2222,9,0.142854317,-1.94592993,33_27,.,.,.,Treated
1998,2,Nugget,Oregon,2H,2,H,129,2.2222,9,0.53846306,-0.619036383,33_27,.,.,.,Treated
1998,2,Nugget,Oregon,2H,3,H,129,0.8888,9,0.161280208,-1.824612004,33_27,.,.,.,Treated
1998,2,Nugget,Oregon,2I,1,I,129,0.6666,9,0.23075858,-1.466383224,33_27,.,.,.,Treated
1998,2,Nugget,Oregon,2I,2,I,129,0.8888,9,0.274710711,-1.292036695,33_27,.,.,.,Treated
1998,2,Nugget,Oregon,2I,3,I,129,0.2222,9,0.083868495,-2.478505239,33_27,.,.,.,Treated
1998,2,Nugget,Oregon,2J,1,J,129,2.5555,9,0.604391257,-0.503533514,27_11,.,.,.,Treated
1998,2,Nugget,Oregon,2J,2,J,129,0.7777,9,0.252734645,-1.375415173,27_11,.,.,.,Treated
1998,2,Nugget,Oregon,2J,3,J,129,1.1111,9,0.187095725,-1.676134893,27_11,.,.,.,Treated
1998,2,Nugget,Oregon,2K,1,K,129,1,9,0.296706557,-1.215011651,11,.,.,.,Treated
1998,2,Nugget,Oregon,2K,2,K,129,0.1111,9,0.120878251,-2.112971427,11,.,.,.,Treated
1998,2,Nugget,Oregon,2K,3,K,129,3.5555,9,0.470961898,-0.752978084,11,.,.,.,Treated
1998,2,Nugget,Oregon,2L,1,L,129,4.2222,9,0.934071803,-0.068201967,4,.,.,.,Treated
1998,2,Nugget,Oregon,2L,2,L,129,0.3333,9,0.164830383,-1.802838317,4,.,.,.,Treated
1998,2,Nugget,Oregon,2L,3,L,129,5.8888,9,0.741926119,-0.298505611,4,.,.,.,Treated
1998,2,Nugget,Oregon,2M,1,M,129,4.5555,9,1,0,Non-treated,Non-treated,.,.,Non-treated
1998,2,Nugget,Oregon,2M,2,M,129,4.5555,9,1,0,Non-treated,Non-treated,.,.,Non-treated
1998,2,Nugget,Oregon,2M,3,M,129,8.1111,9,1,0,Non-treated,Non-treated,.,.,Non-treated
1999,3,Nugget,Oregon,3A,1,A,149,0,9,0.310346968,-1.170064356,P07,.,.,.,Treated
1999,3,Nugget,Oregon,3A,2,A,149,0,9,0.290326327,-1.236749724,P07,.,.,.,Treated
1999,3,Nugget,Oregon,3A,3,A,149,0,9,0.473709143,-0.747161769,P07,.,.,.,Treated
