Year,Trial,Cultivar,State,TMT,Rep,Orig_tmt,DOY,Spikes,Plants,Disease_Control,Response_ratio,tResponse_ratio,MOA,Treat
1997,1,Willamette,Oregon,1A,1,A,136,0,9,1,0,0,.,Treated
1997,1,Willamette,Oregon,1A,2,A,136,0,9,1,0,0,.,Treated
1997,1,Willamette,Oregon,1A,3,A,136,0.2222,9,0,1,0.301029996,.,Treated
1997,1,Willamette,Oregon,1A,4,A,136,0,9,1,0,0,.,Treated
1997,1,Willamette,Oregon,1B,1,B,136,0,9,1,0,0,33_M04,Treated
1997,1,Willamette,Oregon,1B,2,B,136,0.5555,9,-0.25,1.25,0.352182518,33_M04,Treated
1997,1,Willamette,Oregon,1B,3,B,136,0.1111,9,0.75,0.25,0.096910013,33_M04,Treated
1997,1,Willamette,Oregon,1B,4,B,136,0,9,1,0,0,33_M04,Treated
1997,1,Willamette,Oregon,1C,1,C,136,0,9,1,0,0,M04,Treated
1997,1,Willamette,Oregon,1C,2,C,136,0.1111,9,0.75,0.25,0.096910013,M04,Treated
1997,1,Willamette,Oregon,1C,3,C,136,0.5555,9,-1.5,2.5,0.544068044,M04,Treated
1997,1,Willamette,Oregon,1C,4,C,136,0,9,1,0,0,M04,Treated
1997,1,Willamette,Oregon,1D,1,D,136,0,9,1,0,0,M04,Treated
1997,1,Willamette,Oregon,1D,2,D,136,0,9,1,0,0,M04,Treated
1997,1,Willamette,Oregon,1D,3,D,136,0,9,1,0,0,M04,Treated
1997,1,Willamette,Oregon,1D,4,D,136,0.2222,9,0.5,0.5,0.176091259,M04,Treated
1997,1,Willamette,Oregon,1E,1,E,136,0.3333,9,0,1,0.301029996,M04,Treated
1997,1,Willamette,Oregon,1E,2,E,136,0.4444,9,0,1,0.301029996,M04,Treated
1997,1,Willamette,Oregon,1E,3,E,136,0.1111,9,0.5,0.5,0.176091259,M04,Treated
1997,1,Willamette,Oregon,1E,4,E,136,0.1111,9,0.75,0.25,0.096910013,M04,Treated
