Year,Trial,MOA,State,tResponse_ratio,Rep,n,Treat,combinedMOA,Group,numberofgroup
1997,1,Non-treated,Oregon,0,1,4,Non-treated,Non-treated,1,1
1997,1,Non-treated,Oregon,0,2,4,Non-treated,Non-treated,1,1
1997,1,Non-treated,Oregon,0,3,4,Non-treated,Non-treated,1,1
1997,1,Non-treated,Oregon,0,4,4,Non-treated,Non-treated,1,1
1998,2,P07,Oregon,-0.276750709,1,3,Treated,41127_M1Non-treatedP07,15,5
1998,2,P07,Oregon,-0.704186028,2,3,Treated,41127_M1Non-treatedP07,15,5
1998,2,P07,Oregon,-0.965910112,3,3,Treated,41127_M1Non-treatedP07,15,5
1998,2,11,Oregon,-1.677682233,1,12,Treated,41127_M1Non-treatedP07,15,5
1998,2,11,Oregon,-2.112971427,2,12,Treated,41127_M1Non-treatedP07,15,5
1998,2,11,Oregon,-1.036108823,3,12,Treated,41127_M1Non-treatedP07,15,5
1998,2,11,Oregon,-0.433334803,1,12,Treated,41127_M1Non-treatedP07,15,5
1998,2,11,Oregon,-0.400000883,2,12,Treated,41127_M1Non-treatedP07,15,5
1998,2,11,Oregon,0,3,12,Treated,41127_M1Non-treatedP07,15,5
1998,2,11,Oregon,-0.749685612,1,12,Treated,41127_M1Non-treatedP07,15,5
1998,2,11,Oregon,0.251325417,2,12,Treated,41127_M1Non-treatedP07,15,5
1998,2,11,Oregon,-0.510837237,3,12,Treated,41127_M1Non-treatedP07,15,5
1998,2,27_M1,Oregon,-0.276750709,1,6,Treated,41127_M1Non-treatedP07,15,5
1998,2,27_M1,Oregon,-1.215011651,2,6,Treated,41127_M1Non-treatedP07,15,5
1998,2,27_M1,Oregon,-1.488098623,3,6,Treated,41127_M1Non-treatedP07,15,5
1998,2,27_M1,Oregon,-1.566462171,1,6,Treated,41127_M1Non-treatedP07,15,5
1998,2,27_M1,Oregon,-2.31362394,2,6,Treated,41127_M1Non-treatedP07,15,5
1998,2,27_M1,Oregon,-1.998958533,3,6,Treated,41127_M1Non-treatedP07,15,5
1998,2,11,Oregon,-1.215011651,1,12,Treated,41127_M1Non-treatedP07,15,5
1998,2,11,Oregon,-2.112971427,2,12,Treated,41127_M1Non-treatedP07,15,5
1998,2,11,Oregon,-0.752978084,3,12,Treated,41127_M1Non-treatedP07,15,5
1998,2,4,Oregon,-0.068201967,1,3,Treated,41127_M1Non-treatedP07,15,5
1998,2,4,Oregon,-1.802838317,2,3,Treated,41127_M1Non-treatedP07,15,5
1998,2,4,Oregon,-0.298505611,3,3,Treated,41127_M1Non-treatedP07,15,5
1998,2,Non-treated,Oregon,0,1,3,Non-treated,41127_M1Non-treatedP07,15,5
1998,2,Non-treated,Oregon,0,2,3,Non-treated,41127_M1Non-treatedP07,15,5
1998,2,Non-treated,Oregon,0,3,3,Non-treated,41127_M1Non-treatedP07,15,5
1999,3,P07,Oregon,-1.170064356,1,6,Treated,1127_M1Non-treatedP07,28,4
1999,3,P07,Oregon,-1.236749724,2,6,Treated,1127_M1Non-treatedP07,28,4
1999,3,P07,Oregon,-0.747161769,3,6,Treated,1127_M1Non-treatedP07,28,4
1999,3,11,Oregon,-1.170064356,1,6,Treated,1127_M1Non-treatedP07,28,4
1999,3,11,Oregon,-1.236749724,2,6,Treated,1127_M1Non-treatedP07,28,4
1999,3,11,Oregon,-0.747161769,3,6,Treated,1127_M1Non-treatedP07,28,4
1999,3,P07,Oregon,-1.170064356,1,6,Treated,1127_M1Non-treatedP07,28,4
1999,3,P07,Oregon,-1.236749724,2,6,Treated,1127_M1Non-treatedP07,28,4
1999,3,P07,Oregon,-0.747161769,3,6,Treated,1127_M1Non-treatedP07,28,4
1999,3,Non-treated,Oregon,0,1,3,Non-treated,1127_M1Non-treatedP07,28,4
1999,3,Non-treated,Oregon,0,2,3,Non-treated,1127_M1Non-treatedP07,28,4
1999,3,Non-treated,Oregon,0,3,3,Non-treated,1127_M1Non-treatedP07,28,4
1999,3,27_M1,Oregon,-1.170064356,1,3,Treated,1127_M1Non-treatedP07,28,4
1999,3,27_M1,Oregon,-1.236749724,2,3,Treated,1127_M1Non-treatedP07,28,4
1999,3,27_M1,Oregon,-0.747161769,3,3,Treated,1127_M1Non-treatedP07,28,4
1999,3,11,Oregon,-0.148477111,1,6,Treated,1127_M1Non-treatedP07,28,4
1999,3,11,Oregon,-0.600808017,2,6,Treated,1127_M1Non-treatedP07,28,4
1999,3,11,Oregon,0.551939381,3,6,Treated,1127_M1Non-treatedP07,28,4
2000,4,27_M1,Washington,-1.235471471,1,4,Treated,27_M1Non-treatedP07,21,3
2000,4,27_M1,Washington,0.364643114,2,4,Treated,27_M1Non-treatedP07,21,3
2000,4,27_M1,Washington,-0.849017551,3,4,Treated,27_M1Non-treatedP07,21,3
2000,4,27_M1,Washington,-2.221375038,4,4,Treated,27_M1Non-treatedP07,21,3
2000,4,P07,Washington,-1.235471471,1,4,Treated,27_M1Non-treatedP07,21,3
2000,4,P07,Washington,-1.098612289,2,4,Treated,27_M1Non-treatedP07,21,3
2000,4,P07,Washington,-1.355835154,3,4,Treated,27_M1Non-treatedP07,21,3
