Year,Trial,MOA,State,tResponse_ratio,Rep,n,Treat,combinedMOA,Group,numberofgroup
1997,1,Non-treated,Oregon,0,1,4,Non-treated,Non-treated,1,1
1997,1,Non-treated,Oregon,0,2,4,Non-treated,Non-treated,1,1
1997,1,Non-treated,Oregon,0,3,4,Non-treated,Non-treated,1,1
1997,1,Non-treated,Oregon,0,4,4,Non-treated,Non-treated,1,1
1998,2,P07,Oregon,-0.276750709,1,3,Treated,411Non-treatedP07,15,4
1998,2,P07,Oregon,-0.704186028,2,3,Treated,411Non-treatedP07,15,4
1998,2,P07,Oregon,-0.965910112,3,3,Treated,411Non-treatedP07,15,4
1998,2,11,Oregon,-1.677682233,1,12,Treated,411Non-treatedP07,15,4
1998,2,11,Oregon,-2.112971427,2,12,Treated,411Non-treatedP07,15,4
1998,2,11,Oregon,-1.036108823,3,12,Treated,411Non-treatedP07,15,4
1998,2,11,Oregon,-0.433334803,1,12,Treated,411Non-treatedP07,15,4
1998,2,11,Oregon,-0.400000883,2,12,Treated,411Non-treatedP07,15,4
1998,2,11,Oregon,0,3,12,Treated,411Non-treatedP07,15,4
1998,2,11,Oregon,-0.749685612,1,12,Treated,411Non-treatedP07,15,4
1998,2,11,Oregon,0.251325417,2,12,Treated,411Non-treatedP07,15,4
1998,2,11,Oregon,-0.510837237,3,12,Treated,411Non-treatedP07,15,4
1998,2,11,Oregon,-1.215011651,1,12,Treated,411Non-treatedP07,15,4
1998,2,11,Oregon,-2.112971427,2,12,Treated,411Non-treatedP07,15,4
1998,2,11,Oregon,-0.752978084,3,12,Treated,411Non-treatedP07,15,4
1998,2,4,Oregon,-0.068201967,1,3,Treated,411Non-treatedP07,15,4
1998,2,4,Oregon,-1.802838317,2,3,Treated,411Non-treatedP07,15,4
1998,2,4,Oregon,-0.298505611,3,3,Treated,411Non-treatedP07,15,4
1998,2,Non-treated,Oregon,0,1,3,Non-treated,411Non-treatedP07,15,4
1998,2,Non-treated,Oregon,0,2,3,Non-treated,411Non-treatedP07,15,4
1998,2,Non-treated,Oregon,0,3,3,Non-treated,411Non-treatedP07,15,4
1999,3,P07,Oregon,-1.170064356,1,6,Treated,11Non-treatedP07,20,3
1999,3,P07,Oregon,-1.236749724,2,6,Treated,11Non-treatedP07,20,3
1999,3,P07,Oregon,-0.747161769,3,6,Treated,11Non-treatedP07,20,3
1999,3,11,Oregon,-1.170064356,1,6,Treated,11Non-treatedP07,20,3
1999,3,11,Oregon,-1.236749724,2,6,Treated,11Non-treatedP07,20,3
1999,3,11,Oregon,-0.747161769,3,6,Treated,11Non-treatedP07,20,3
1999,3,P07,Oregon,-1.170064356,1,6,Treated,11Non-treatedP07,20,3
1999,3,P07,Oregon,-1.236749724,2,6,Treated,11Non-treatedP07,20,3
1999,3,P07,Oregon,-0.747161769,3,6,Treated,11Non-treatedP07,20,3
1999,3,Non-treated,Oregon,0,1,3,Non-treated,11Non-treatedP07,20,3
1999,3,Non-treated,Oregon,0,2,3,Non-treated,11Non-treatedP07,20,3
1999,3,Non-treated,Oregon,0,3,3,Non-treated,11Non-treatedP07,20,3
1999,3,11,Oregon,-0.148477111,1,6,Treated,11Non-treatedP07,20,3
1999,3,11,Oregon,-0.600808017,2,6,Treated,11Non-treatedP07,20,3
1999,3,11,Oregon,0.551939381,3,6,Treated,11Non-treatedP07,20,3
2003,7,Non-treated,Oregon,0,1,4,Non-treated,11Non-treatedP07,20,3
2003,7,Non-treated,Oregon,0,2,4,Non-treated,11Non-treatedP07,20,3
2003,7,Non-treated,Oregon,0,3,4,Non-treated,11Non-treatedP07,20,3
2003,7,Non-treated,Oregon,0,4,4,Non-treated,11Non-treatedP07,20,3
2003,7,P07,Oregon,0.717459703,1,4,Treated,11Non-treatedP07,20,3
2003,7,P07,Oregon,0.420735657,2,4,Treated,11Non-treatedP07,20,3
2003,7,P07,Oregon,-0.191067594,3,4,Treated,11Non-treatedP07,20,3
2003,7,P07,Oregon,0.740409892,4,4,Treated,11Non-treatedP07,20,3
2003,7,11,Oregon,-0.349684729,1,8,Treated,11Non-treatedP07,20,3
2003,7,11,Oregon,0.244454005,2,8,Treated,11Non-treatedP07,20,3
2003,7,11,Oregon,-1.015285986,3,8,Treated,11Non-treatedP07,20,3
2003,7,11,Oregon,-0.600808017,4,8,Treated,11Non-treatedP07,20,3
2003,7,11,Oregon,-0.260704288,1,8,Treated,11Non-treatedP07,20,3
2003,7,11,Oregon,-0.619058989,2,8,Treated,11Non-treatedP07,20,3
2003,7,11,Oregon,-1.015285986,3,8,Treated,11Non-treatedP07,20,3
2003,7,11,Oregon,-0.389509008,4,8,Treated,11Non-treatedP07,20,3
2003,8,Non-treated,Oregon,0,1,3,Non-treated,BMNon-treatedP07,4,3
2003,8,Non-treated,Oregon,0,2,3,Non-treated,BMNon-treatedP07,4,3
2003,8,Non-treated,Oregon,0,3,3,Non-treated,BMNon-treatedP07,4,3
2003,8,P07,Oregon,-1.473843417,1,3,Treated,BMNon-treatedP07,4,3
2003,8,P07,Oregon,-1.997462934,2,3,Treated,BMNon-treatedP07,4,3
