Year,Trial,MOA,State,tResponse_ratio,Rep,n,Treat,combinedMOA,Group,numberofgroup
2000,4,P07,Washington,-1.235471471,1,4,Treated,Non-treatedP07,1,2
2000,4,P07,Washington,-1.098612289,2,4,Treated,Non-treatedP07,1,2
2000,4,P07,Washington,-1.355835154,3,4,Treated,Non-treatedP07,1,2
2000,4,P07,Washington,-2.022524179,4,4,Treated,Non-treatedP07,1,2
2000,4,Non-treated,Washington,0,1,4,Non-treated,Non-treatedP07,1,2
2000,4,Non-treated,Washington,0,2,4,Non-treated,Non-treatedP07,1,2
2000,4,Non-treated,Washington,0,3,4,Non-treated,Non-treatedP07,1,2
2000,4,Non-treated,Washington,0,4,4,Non-treated,Non-treatedP07,1,2
2001,5,P07,Washington,-1.652497402,1,4,Treated,Non-treatedP07,1,2
2001,5,P07,Washington,-2.221375038,2,4,Treated,Non-treatedP07,1,2
2001,5,P07,Washington,-2.512846018,3,4,Treated,Non-treatedP07,1,2
2001,5,P07,Washington,-2.506659082,4,4,Treated,Non-treatedP07,1,2
2001,5,Non-treated,Washington,0,1,4,Non-treated,Non-treatedP07,1,2
2001,5,Non-treated,Washington,0,2,4,Non-treated,Non-treatedP07,1,2
2001,5,Non-treated,Washington,0,3,4,Non-treated,Non-treatedP07,1,2
2001,5,Non-treated,Washington,0,4,4,Non-treated,Non-treatedP07,1,2
2002,6,P07,Washington,-0.510826246,1,4,Treated,1122Non-treatedP07,9,4
2002,6,P07,Washington,-0.762140452,2,4,Treated,1122Non-treatedP07,9,4
2002,6,P07,Washington,-0.693147181,3,4,Treated,1122Non-treatedP07,9,4
2002,6,P07,Washington,-0.45198476,4,4,Treated,1122Non-treatedP07,9,4
2002,6,22,Washington,-0.762140452,1,8,Treated,1122Non-treatedP07,9,4
2002,6,22,Washington,-0.762140452,2,8,Treated,1122Non-treatedP07,9,4
2002,6,22,Washington,-0.441832975,3,8,Treated,1122Non-treatedP07,9,4
2002,6,22,Washington,-0.45198476,4,8,Treated,1122Non-treatedP07,9,4
2002,6,22,Washington,-0.762140452,1,8,Treated,1122Non-treatedP07,9,4
2002,6,22,Washington,-0.762140452,2,8,Treated,1122Non-treatedP07,9,4
2002,6,22,Washington,-0.693147181,3,8,Treated,1122Non-treatedP07,9,4
2002,6,22,Washington,-0.45198476,4,8,Treated,1122Non-treatedP07,9,4
2002,6,11,Washington,-0.762140452,1,4,Treated,1122Non-treatedP07,9,4
2002,6,11,Washington,-0.762140452,2,4,Treated,1122Non-treatedP07,9,4
2002,6,11,Washington,-0.693147181,3,4,Treated,1122Non-treatedP07,9,4
2002,6,11,Washington,-0.45198476,4,4,Treated,1122Non-treatedP07,9,4
2002,6,Non-treated,Washington,0,1,4,Non-treated,1122Non-treatedP07,9,4
2002,6,Non-treated,Washington,0,2,4,Non-treated,1122Non-treatedP07,9,4
2002,6,Non-treated,Washington,0,3,4,Non-treated,1122Non-treatedP07,9,4
2002,6,Non-treated,Washington,0,4,4,Non-treated,1122Non-treatedP07,9,4
2003,10,11,Washington,-1.189585806,1,12,Treated,1122Non-treatedP07,9,4
2003,10,11,Washington,-1.945910149,2,12,Treated,1122Non-treatedP07,9,4
2003,10,11,Washington,-1.098612289,3,12,Treated,1122Non-treatedP07,9,4
2003,10,11,Washington,-0.693147181,4,12,Treated,1122Non-treatedP07,9,4
2003,10,11,Washington,-0.784120698,1,12,Treated,1122Non-treatedP07,9,4
2003,10,11,Washington,-1.945910149,2,12,Treated,1122Non-treatedP07,9,4
2003,10,11,Washington,-1.098612289,3,12,Treated,1122Non-treatedP07,9,4
2003,10,11,Washington,-0.693147181,4,12,Treated,1122Non-treatedP07,9,4
2003,10,22,Washington,-0.966442255,1,4,Treated,1122Non-treatedP07,9,4
2003,10,22,Washington,-1.722766598,2,4,Treated,1122Non-treatedP07,9,4
2003,10,22,Washington,-1.098612289,3,4,Treated,1122Non-treatedP07,9,4
2003,10,22,Washington,-0.693147181,4,4,Treated,1122Non-treatedP07,9,4
2003,10,P07,Washington,-1.189585806,1,4,Treated,1122Non-treatedP07,9,4
2003,10,P07,Washington,-1.722766598,2,4,Treated,1122Non-treatedP07,9,4
2003,10,P07,Washington,-0.693147181,3,4,Treated,1122Non-treatedP07,9,4
2003,10,P07,Washington,-0.470003629,4,4,Treated,1122Non-treatedP07,9,4
2003,10,11,Washington,-1.189585806,1,12,Treated,1122Non-treatedP07,9,4
2003,10,11,Washington,-1.694591276,2,12,Treated,1122Non-treatedP07,9,4
2003,10,11,Washington,-0.693147181,3,12,Treated,1122Non-treatedP07,9,4
2003,10,11,Washington,-0.441828308,4,12,Treated,1122Non-treatedP07,9,4
2003,10,Non-treated,Washington,0,1,4,Non-treated,1122Non-treatedP07,9,4
2003,10,Non-treated,Washington,0,2,4,Non-treated,1122Non-treatedP07,9,4
2003,10,Non-treated,Washington,0,3,4,Non-treated,1122Non-treatedP07,9,4
2003,10,Non-treated,Washington,0,4,4,Non-treated,1122Non-treatedP07,9,4
2004,11,Non-treated,Washington,0,1,4,Non-treated,11Non-treatedP07,7,3
2004,11,Non-treated,Washington,0,2,4,Non-treated,11Non-treatedP07,7,3
2004,11,Non-treated,Washington,0,3,4,Non-treated,11Non-treatedP07,7,3
2004,11,P07,Washington,-1.203974804,1,4,Non-treated,11Non-treatedP07,7,3
2004,11,P07,Washington,-0.847300718,2,4,Treated,11Non-treatedP07,7,3
2004,11,P07,Washington,-1.098612289,3,4,Treated,11Non-treatedP07,7,3
2004,11,11,Washington,-1.203974804,1,8,Treated,11Non-treatedP07,7,3
2004,11,11,Washington,0,2,8,Treated,11Non-treatedP07,7,3
2004,11,11,Washington,-0.646632619,3,8,Treated,11Non-treatedP07,7,3
2004,11,11,Washington,-0.441833419,1,8,Treated,11Non-treatedP07,7,3
2004,11,11,Washington,-0.036370501,2,8,Treated,11Non-treatedP07,7,3
2004,11,11,Washington,-0.646632619,3,8,Treated,11Non-treatedP07,7,3
2005,12,40,Washington,0,1,4,Treated,40Non-treatedP07,3,3
2005,12,40,Washington,-1.029619417,2,4,Treated,40Non-treatedP07,3,3
2005,12,40,Washington,-0.559615788,3,4,Treated,40Non-treatedP07,3,3
2005,12,40,Washington,-1.504077397,4,4,Treated,40Non-treatedP07,3,3
2005,12,P07,Washington,0,1,4,Treated,40Non-treatedP07,3,3
2005,12,P07,Washington,-1.029619417,2,4,Treated,40Non-treatedP07,3,3
2005,12,P07,Washington,-0.559615788,3,4,Treated,40Non-treatedP07,3,3
2005,12,P07,Washington,-2.197224577,4,4,Treated,40Non-treatedP07,3,3
2005,12,Non-treated,Washington,0,1,4,Treated,40Non-treatedP07,3,3
2005,12,Non-treated,Washington,0,2,4,Treated,40Non-treatedP07,3,3
2005,12,Non-treated,Washington,0,3,4,Treated,40Non-treatedP07,3,3
2005,12,Non-treated,Washington,0,4,4,Treated,40Non-treatedP07,3,3
2006,13,Non-treated,Washington,0,1,4,Treated,Non-treatedP07,1,2
2006,13,Non-treated,Washington,0,2,4,Treated,Non-treatedP07,1,2
2006,13,Non-treated,Washington,0,3,4,Treated,Non-treatedP07,1,2
2006,13,Non-treated,Washington,0,4,4,Treated,Non-treatedP07,1,2
2006,13,P07,Washington,-1.335001067,1,4,Non-treated,Non-treatedP07,1,2
2006,13,P07,Washington,-1.504077397,2,4,Non-treated,Non-treatedP07,1,2
2006,13,P07,Washington,-2.525728644,3,4,Non-treated,Non-treatedP07,1,2
2006,13,P07,Washington,-1.280933845,4,4,Non-treated,Non-treatedP07,1,2
2007,14,Non-treated,Washington,0,1,4,Treated,1140Non-treatedP07,8,4
2007,14,Non-treated,Washington,0,2,4,Treated,1140Non-treatedP07,8,4
2007,14,Non-treated,Washington,0,3,4,Treated,1140Non-treatedP07,8,4
2007,14,Non-treated,Washington,0,4,4,Treated,1140Non-treatedP07,8,4
2007,14,P07,Washington,-0.223143551,1,4,Treated,1140Non-treatedP07,8,4
2007,14,P07,Washington,-0.61903767,2,4,Treated,1140Non-treatedP07,8,4
2007,14,P07,Washington,-0.405465108,3,4,Treated,1140Non-treatedP07,8,4
2007,14,P07,Washington,-0.875468737,4,4,Treated,1140Non-treatedP07,8,4
2007,14,40,Washington,0.028175321,1,4,Treated,1140Non-treatedP07,8,4
2007,14,40,Washington,-0.61903767,2,4,Treated,1140Non-treatedP07,8,4
2007,14,40,Washington,-0.405465108,3,4,Treated,1140Non-treatedP07,8,4
2007,14,40,Washington,-1.098612289,4,4,Treated,1140Non-treatedP07,8,4
2007,14,11,Washington,0.336472237,1,4,Treated,1140Non-treatedP07,8,4
2007,14,11,Washington,-0.61903767,2,4,Treated,1140Non-treatedP07,8,4
2007,14,11,Washington,-0.405465108,3,4,Treated,1140Non-treatedP07,8,4
2007,14,11,Washington,-0.693147181,4,4,Treated,1140Non-treatedP07,8,4
2008,17,Non-treated,Washington,0,1,4,Treated,1140Non-treatedP07,8,4
2008,17,Non-treated,Washington,0,2,4,Treated,1140Non-treatedP07,8,4
2008,17,Non-treated,Washington,0,3,4,Treated,1140Non-treatedP07,8,4
2008,17,Non-treated,Washington,0,4,4,Treated,1140Non-treatedP07,8,4
2008,17,P07,Washington,-1.170064356,1,4,Treated,1140Non-treatedP07,8,4
2008,17,P07,Washington,-1.358100627,2,4,Treated,1140Non-treatedP07,8,4
2008,17,P07,Washington,-1.223775432,3,4,Non-treated,1140Non-treatedP07,8,4
2008,17,P07,Washington,-0.355991947,4,4,Non-treated,1140Non-treatedP07,8,4
2008,17,40,Washington,-0.969411843,1,12,Non-treated,1140Non-treatedP07,8,4
2008,17,40,Washington,-1.157448113,2,12,Treated,1140Non-treatedP07,8,4
2008,17,40,Washington,-1.223775432,3,12,Treated,1140Non-treatedP07,8,4
2008,17,40,Washington,-1.015270681,4,12,Treated,1140Non-treatedP07,8,4
2008,17,40,Washington,-1.170064356,1,12,Treated,1140Non-treatedP07,8,4
2008,17,40,Washington,-1.157448113,2,12,Treated,1140Non-treatedP07,8,4
2008,17,40,Washington,-0.376534716,3,12,Treated,1140Non-treatedP07,8,4
2008,17,40,Washington,-0.778894535,4,12,Treated,1140Non-treatedP07,8,4
2008,17,11,Washington,-1.170064356,1,4,Treated,1140Non-treatedP07,8,4
2008,17,11,Washington,-0.72215892,2,4,Non-treated,1140Non-treatedP07,8,4
2008,17,11,Washington,-1.223775432,3,4,Non-treated,1140Non-treatedP07,8,4
2008,17,11,Washington,-0.778894535,4,4,Non-treated,1140Non-treatedP07,8,4
2008,17,40,Washington,-0.231855589,1,12,Treated,1140Non-treatedP07,8,4
2008,17,40,Washington,-0.610938858,2,12,Treated,1140Non-treatedP07,8,4
2008,17,40,Washington,-1.223775432,3,12,Treated,1140Non-treatedP07,8,4
2008,17,40,Washington,-0.226791501,4,12,Treated,1140Non-treatedP07,8,4
2009,18,Non-treated,Washington,0,1,4,Treated,2240Non-treatedP07,5,4
2009,18,Non-treated,Washington,0,2,4,Treated,2240Non-treatedP07,5,4
2009,18,Non-treated,Washington,0,3,4,Treated,2240Non-treatedP07,5,4
2009,18,Non-treated,Washington,0,4,4,Treated,2240Non-treatedP07,5,4
2009,18,P07,Washington,-0.847240716,1,4,Treated,2240Non-treatedP07,5,4
2009,18,P07,Washington,-1.183801935,2,4,Treated,2240Non-treatedP07,5,4
2009,18,P07,Washington,-1.741097554,3,4,Treated,2240Non-treatedP07,5,4
2009,18,P07,Washington,-1.228731275,4,4,Treated,2240Non-treatedP07,5,4
2009,18,40,Washington,-0.847240716,1,4,Treated,2240Non-treatedP07,5,4
2009,18,40,Washington,-1.694587557,2,4,Treated,2240Non-treatedP07,5,4
2009,18,40,Washington,-1.778868652,3,4,Treated,2240Non-treatedP07,5,4
2009,18,40,Washington,-1.148619332,4,4,Treated,2240Non-treatedP07,5,4
2009,18,22,Washington,-0.847240716,1,4,Treated,2240Non-treatedP07,5,4
2009,18,22,Washington,-1.058645851,2,4,Treated,2240Non-treatedP07,5,4
2009,18,22,Washington,-1.945910149,3,4,Treated,2240Non-treatedP07,5,4
2009,18,22,Washington,-1.516313342,4,4,Treated,2240Non-treatedP07,5,4
2010,19,Non-treated,Washington,0,1,4,Treated,40Non-treatedP07,3,3
2010,19,Non-treated,Washington,0,2,4,Non-treated,40Non-treatedP07,3,3
2010,19,Non-treated,Washington,0,3,4,Non-treated,40Non-treatedP07,3,3
2010,19,Non-treated,Washington,0,4,4,Non-treated,40Non-treatedP07,3,3
2010,19,P07,Washington,-1.244374351,1,4,Non-treated,40Non-treatedP07,3,3
2010,19,P07,Washington,-2.908713624,2,4,Non-treated,40Non-treatedP07,3,3
2010,19,P07,Washington,-3.745894207,3,4,Non-treated,40Non-treatedP07,3,3
2010,19,P07,Washington,-3.579538806,4,4,Non-treated,40Non-treatedP07,3,3
2010,19,40,Washington,-1.679640014,1,4,Treated,40Non-treatedP07,3,3
2010,19,40,Washington,-2.146600239,2,4,Treated,40Non-treatedP07,3,3
2010,19,40,Washington,-2.983754155,3,4,Treated,40Non-treatedP07,3,3
2010,19,40,Washington,-3.579538806,4,4,Treated,40Non-treatedP07,3,3
2011,20,Non-treated,Washington,0,1,4,Treated,Non-treatedP07,1,2
2011,20,Non-treated,Washington,0,2,4,Treated,Non-treatedP07,1,2
2011,20,Non-treated,Washington,0,3,4,Treated,Non-treatedP07,1,2
2011,20,Non-treated,Washington,0,4,4,Treated,Non-treatedP07,1,2
2011,20,P07,Washington,-0.441818466,1,4,Treated,Non-treatedP07,1,2
2011,20,P07,Washington,-0.610940662,2,4,Treated,Non-treatedP07,1,2
2011,20,P07,Washington,-0.902872757,3,4,Treated,Non-treatedP07,1,2
2011,20,P07,Washington,-1.062435907,4,4,Treated,Non-treatedP07,1,2
2014,23,Non-treated,Washington,0,1,4,Treated,22Non-treatedP07,4,3
2014,23,Non-treated,Washington,0,2,4,Treated,22Non-treatedP07,4,3
2014,23,Non-treated,Washington,0,3,4,Treated,22Non-treatedP07,4,3
2014,23,Non-treated,Washington,0,4,4,Treated,22Non-treatedP07,4,3
2014,23,22,Washington,0.155912795,1,4,Treated,22Non-treatedP07,4,3
2014,23,22,Washington,-0.552871576,2,4,Treated,22Non-treatedP07,4,3
2014,23,22,Washington,-0.094310679,3,4,Treated,22Non-treatedP07,4,3
2014,23,22,Washington,-1.069624752,4,4,Treated,22Non-treatedP07,4,3
2014,23,P07,Washington,0.127339422,1,4,Non-treated,22Non-treatedP07,4,3
